location,week,forecast_appointments,buffered_demand,weekly_capacity_per_tech,required_techs
Palo Alto,2025-08-04,603.8923061464868,664.2815367611355,25.5,27.0
Palo Alto,2025-08-11,606.0068359200355,666.6075195120392,25.5,27.0
Palo Alto,2025-08-18,608.1213656935842,668.9335022629426,25.5,27.0
Palo Alto,2025-08-25,610.2358954671328,671.2594850138461,25.5,27.0
Palo Alto,2025-09-01,612.3504252406815,673.5854677647496,25.5,27.0
Palo Alto,2025-09-08,614.4649550142301,675.9114505156532,25.5,27.0
Palo Alto,2025-09-15,616.5794847877787,678.2374332665566,25.5,27.0
Palo Alto,2025-09-22,618.6940145613274,680.5634160174602,25.5,27.0
Fremont,2025-08-04,493.42460979696324,542.7670707766596,25.5,22.0
Fremont,2025-08-11,494.8834127066908,544.37175397736,25.5,22.0
Fremont,2025-08-18,496.34221561641846,545.9764371780603,25.5,22.0
Fremont,2025-08-25,497.80101852614604,547.5811203787607,25.5,22.0
Fremont,2025-09-01,499.2598214358736,549.185803579461,25.5,22.0
Fremont,2025-09-08,500.7186243456012,550.7904867801614,25.5,22.0
Fremont,2025-09-15,502.17742725532884,552.3951699808617,25.5,22.0
Fremont,2025-09-22,503.6362301650564,553.9998531815621,25.5,22.0
San Jose,2025-08-04,655.0952092895842,720.6047302185427,25.5,29.0
San Jose,2025-08-11,658.2846312823368,724.1130944105705,25.5,29.0
San Jose,2025-08-18,661.4740532750894,727.6214586025984,25.5,29.0
San Jose,2025-08-25,664.663475267842,731.1298227946263,25.5,29.0
San Jose,2025-09-01,667.8528972605947,734.6381869866542,25.5,29.0
San Jose,2025-09-08,671.0423192533474,738.1465511786822,25.5,29.0
San Jose,2025-09-15,674.2317412461,741.6549153707101,25.5,30.0
San Jose,2025-09-22,677.4211632388526,745.1632795627379,25.5,30.0
Dublin,2025-08-04,426.5563564599396,469.2119921059336,25.5,19.0
Dublin,2025-08-11,427.85406724147316,470.63947396562054,25.5,19.0
Dublin,2025-08-18,429.1517780230067,472.06695582530745,25.5,19.0
Dublin,2025-08-25,430.4494888045403,473.49443768499435,25.5,19.0
Dublin,2025-09-01,431.74719958607386,474.92191954468126,25.5,19.0
Dublin,2025-09-08,433.04491036760743,476.3494014043682,25.5,19.0
Dublin,2025-09-15,434.342621149141,477.77688326405513,25.5,19.0
Dublin,2025-09-22,435.64033193067456,479.20436512374204,25.5,19.0
Mountain View,2025-08-04,464.10158811137893,510.51174692251686,25.5,21.0
Mountain View,2025-08-11,465.9296236795633,512.5225860475197,25.5,21.0
Mountain View,2025-08-18,467.7576592477477,514.5334251725225,25.5,21.0
Mountain View,2025-08-25,469.58569481593213,516.5442642975254,25.5,21.0
Mountain View,2025-09-01,471.41373038411655,518.5551034225282,25.5,21.0
Mountain View,2025-09-08,473.2417659523009,520.565942547531,25.5,21.0
Mountain View,2025-09-15,475.0698015204853,522.5767816725339,25.5,21.0
Mountain View,2025-09-22,476.89783708866975,524.5876207975367,25.5,21.0
